,Branco - E,Branco - D,Branco - C,Branco - B,Branco - A,Negro - E,Negro - D,Negro - C,Negro - B,Negro - A
Branco - E,1.434839562,1.138243831,1.035032215,0.873718385,0.6602971294,1.172574366,1.07905114,1.028365693,0.9555444552,0.8051084145
Branco - D,1.13795523,1.112516689,1.032467284,0.9291620261,0.7760218944,1.062631892,1.047921515,1.017316527,0.9705385305,0.8690951416
Branco - C,1.034783938,1.032481137,1.055713769,1.034772036,0.9295307794,0.9599550243,0.9641856561,0.990069884,1.019992666,1.001064412
Branco - B,0.8735204649,0.9291868563,1.034785818,1.373171976,1.690679828,0.7413080492,0.7609720988,0.8205775919,1.025845213,1.378094506
Branco - A,0.6601276251,0.7760191834,0.9295150102,1.690628733,3.224126367,0.4900166651,0.5181972497,0.5735855001,0.8564725121,1.733539829
Negro - E,1.172354018,1.062701776,0.9600050549,0.7413370068,0.4900504238,1.361927662,1.185824942,1.108657627,0.9668918907,0.74073621
Negro - D,1.078807181,1.047950269,0.9641990997,0.7609725277,0.5182131988,1.185779397,1.184328188,1.114022312,0.9750960656,0.7540677732
Negro - C,1.028109782,1.017321634,0.9900615139,0.8205597718,0.5735903044,1.10859025,1.113997313,1.110056329,1.017053097,0.82061461
Negro - B,0.9553013972,0.9705380062,1.019978486,1.025817163,0.8564750486,0.9668279149,0.9750688995,1.017047541,1.102678331,1.063751136
Negro - A,0.8049281183,0.8691204577,1.001080141,1.378097598,1.733596293,0.7407090059,0.7540689166,0.8206342833,1.063782525,1.528178688
