,Branco - E,Branco - D,Branco - C,Branco - B,Branco - A,Negro - E,Negro - D,Negro - C,Negro - B,Negro - A
Branco - E,1.464746602,1.147007741,1.059545531,0.9040771282,0.6786092553,1.35849583,1.038836206,0.9998413313,0.8978024055,0.7730277548
Branco - D,1.146929476,1.117044174,1.05268024,0.9172777449,0.7255616086,1.097371276,1.081362858,1.051709417,0.9642321899,0.8472370826
Branco - C,1.059485327,1.052692081,1.057560138,0.9580961198,0.7927658646,1.024073033,1.007527231,1.017429779,0.9664766094,0.8671070606
Branco - B,0.9040193517,0.9172816886,0.9580894449,1.1117653,1.237628765,0.8649195445,0.8482698007,0.881186757,0.9899001495,1.117601342
Branco - A,0.6785900092,0.7255906713,0.7927886663,1.237673024,2.082888864,0.6195020556,0.6454210192,0.6853153654,0.9193878388,1.428750837
Negro - E,1.358503225,1.097450819,1.024136697,0.8649792633,0.619522816,1.799839392,1.285398479,1.216537767,1.08500356,0.9230357326
Negro - D,1.03876879,1.081366058,1.007518943,0.8482685935,0.6453971357,1.285307798,1.454999893,1.331124786,1.199171691,0.9843040295
Negro - C,0.999804722,1.051742252,1.017450177,0.8812104986,0.6853093056,1.216487721,1.331162369,1.286795582,1.185522726,1.001986791
Negro - B,0.8974621656,0.9639325625,0.9661655375,0.989588395,0.919065472,1.084586877,1.198795293,1.185116987,1.310875207,1.220972175
Negro - A,0.7731560215,0.8474348509,0.8673002945,1.117857415,1.429027401,0.9231845397,0.9845318518,1.002190191,1.221637905,1.619626899
