,Branco - E,Branco - D,Branco - C,Branco - B,Branco - A,Negro - E,Negro - D,Negro - C,Negro - B,Negro - A
Branco - E,1.19816425,1.064883847,0.983361168,0.7954528718,0.5587482558,1.134345486,1.090209756,1.057106912,0.9393780611,0.7260970501
Branco - D,1.064855438,1.056718993,1.001034318,0.8743654976,0.7051145112,1.056509879,1.054480386,1.043481412,0.9668228198,0.8158254277
Branco - C,0.9833950851,1.001095386,1.038367425,1.027832108,0.9623056881,0.9663793048,0.9763840757,1.009689308,1.039207015,0.9973487228
Branco - B,0.7954759645,0.8744142116,1.027826626,1.477990291,1.905035885,0.7649053626,0.7892786928,0.845671951,1.159696505,1.604421766
Branco - A,0.558718953,0.7050964709,0.9622224009,1.904881059,3.571568873,0.5047194899,0.5641898924,0.608393012,1.097547128,2.373595546
Negro - E,1.134375596,1.056565648,0.9663715445,0.764903036,0.5047591125,1.192717656,1.118163522,1.064267291,0.9225355115,0.6907327829
Negro - D,1.090201413,1.054500331,0.9763430794,0.7892496103,0.5642150749,1.11812567,1.110701978,1.063707915,0.92742932,0.7271669355
Negro - C,1.057080296,1.043482722,1.009629081,0.845625899,0.6084093864,1.064212415,1.063689102,1.075121438,0.9755471259,0.7730901442
Negro - B,0.9393971129,0.9668681442,1.03919247,1.159686286,1.097626756,0.9225300079,0.9274552058,0.9755915404,1.142300973,1.150128597
Negro - A,0.7260813817,0.8158293617,0.9972928004,1.604340561,2.373668031,0.6906996593,0.727156897,0.7730931423,1.150080262,1.915072549
