,Branco - E,Branco - D,Branco - C,Branco - B,Branco - A,Negro - E,Negro - D,Negro - C,Negro - B,Negro - A
Branco - E,1.319400216,1.116392282,1.032962602,0.9119859769,0.7061901824,1.21492822,1.134063355,1.078600752,1.026764756,0.9023082572
Branco - D,1.116345339,1.124129969,1.037234224,0.9321279917,0.7081460961,1.146210972,1.11649893,1.074849093,1.031677932,0.9193803261
Branco - C,1.032928524,1.037243891,1.037021315,0.9927747985,0.837662383,1.026513354,1.025737554,1.027179735,1.028870279,0.9803346623
Branco - B,0.9119574918,0.9321377979,0.9927760393,1.199502066,1.323816602,0.7568258162,0.7818138735,0.8162346961,0.9480430504,1.145266119
Branco - A,0.7061683888,0.7081541089,0.8376639986,1.323817491,2.436791906,0.4217270764,0.4713221179,0.5294024588,0.7098949271,1.251275303
Negro - E,1.215045945,1.146369909,1.026646175,0.756923273,0.4217809926,1.572945286,1.329690636,1.245585053,1.081793299,0.8069939681
Negro - D,1.134043443,1.116525688,1.025752662,0.7818243107,0.4713280703,1.329537515,1.316703625,1.233008256,1.079525346,0.8239201138
Negro - C,1.07856288,1.074855914,1.02717674,0.816231251,0.5293998965,1.245420424,1.232986534,1.218080665,1.092509027,0.8688587896
Negro - B,1.02672951,1.031685943,1.028868539,0.9480403758,0.7098924423,1.081651571,1.079507728,1.092510466,1.119445074,0.997876141
Negro - A,0.9022768533,0.9193864061,0.9803317593,1.14526159,1.251269554,0.8068869497,0.8239059054,0.8688588125,0.9978746845,1.250288315
